simplified_created_at_date,us_cases,us_deaths
2020.1.21,1,0
2020.1.22,1,0
2020.1.23,1,0
2020.1.24,2,0
2020.1.25,3,0
2020.1.26,5,0
2020.1.27,5,0
2020.1.28,5,0
2020.1.29,5,0
2020.1.30,6,0
2020.1.31,7,0
2020.2.1,8,0
2020.2.2,11,0
2020.2.3,11,0
2020.2.4,11,0
2020.2.5,12,0
2020.2.6,12,0
2020.2.7,12,0
2020.2.8,12,0
2020.2.9,12,0
2020.2.10,13,0
2020.2.11,13,0
2020.2.12,14,0
2020.2.13,15,0
2020.2.14,15,0
2020.2.15,15,0
2020.2.16,15,0
2020.2.17,25,0
2020.2.18,25,0
2020.2.19,25,0
2020.2.20,27,0
2020.2.21,30,0
2020.2.22,30,0
2020.2.23,30,0
2020.2.24,43,0
2020.2.25,45,0
2020.2.26,60,0
2020.2.27,60,0
2020.2.28,65,0
2020.2.29,70,1
2020.3.1,88,3
2020.3.2,104,6
2020.3.3,125,10
2020.3.4,161,12
2020.3.5,228,12
2020.3.6,311,15
2020.3.7,428,19
2020.3.8,547,22
2020.3.9,748,26
2020.3.10,1018,31
2020.3.11,1263,37
2020.3.12,1668,43
2020.3.13,2224,50
2020.3.14,2898,60
2020.3.15,3600,68
2020.3.16,4507,91
2020.3.17,5906,117
2020.3.18,8350,162
2020.3.19,12393,212
2020.3.20,18012,277
2020.3.21,24528,360
2020.3.22,33073,458
2020.3.23,43505,579
2020.3.24,53938,785
2020.3.25,68572,1054
2020.3.26,85570,1353
2020.3.27,102900,1770
2020.3.28,123966,2300
2020.3.29,142486,2718
2020.3.30,163955,3368
2020.3.31,188461,4304
2020.4.1,215391,5325
2020.4.2,245108,6541
2020.4.3,277426,7932
2020.4.4,312525,9488
2020.4.5,338141,10856
2020.4.6,369057,12382
2020.4.7,399394,14616
2020.4.8,431214,16701
2020.4.9,465913,18821
2020.4.10,499386,21084
2020.4.11,531106,23168
2020.4.12,558249,24849
2020.4.13,584018,26613
2020.4.14,610709,29318
2020.4.15,640742,32070
2020.4.16,672355,34419
2020.4.17,703864,36708
2020.4.18,732262,38659
2020.4.19,757596,40179
2020.4.20,784991,42016
2020.4.21,810505,44688
2020.4.22,839336,47059
2020.4.23,873112,49228
2020.4.24,909853,51360
2020.4.25,944261,53327
2020.4.26,970996,54580
2020.4.27,994193,56022
2020.4.28,1018844,58416
2020.4.29,1045399,60930
2020.4.30,1075756,63140
2020.5.1,1109726,64902
2020.5.2,1139200,66485
2020.5.3,1165340,67816
2020.5.4,1187302,68905
2020.5.5,1211011,71139
2020.5.6,1235515,73847
2020.5.7,1263993,75805
2020.5.8,1291641,77380
2020.5.9,1316509,78834
2020.5.10,1336826,79766
2020.5.11,1354447,80748
2020.5.12,1376747,82400
2020.5.13,1397892,84168
2020.5.14,1424853,85906
2020.5.15,1451090,87499
2020.5.16,1474748,88724
2020.5.17,1493761,89568
2020.5.18,1515585,90414
2020.5.19,1536554,91934
2020.5.20,1559620,93411
2020.5.21,1585352,94722
2020.5.22,1609147,96010
2020.5.23,1631416,97059
2020.5.24,1651447,97679
2020.5.25,1670547,98189
2020.5.26,1689440,98936
2020.5.27,1708182,100421
2020.5.28,1730692,101621
2020.5.29,1755240,102811
2020.5.30,1778637,103774
2020.5.31,1799271,104378
2020.6.1,1821167,105112
2020.6.2,1841953,106194
2020.6.3,1861939,107183
2020.6.4,1883554,108191
2020.6.5,1912261,109303
2020.6.6,1934771,110031
2020.6.7,1953386,110421
2020.6.8,1971591,111143
2020.6.9,1990396,112173
2020.6.10,2013246,113102
2020.6.11,2036447,113979
2020.6.12,2061939,114758
2020.6.13,2087273,115450
2020.6.14,2106403,115767
2020.6.15,2126520,116215
2020.6.16,2151403,116984
2020.6.17,2177056,117745
2020.6.18,2205115,118472
2020.6.19,2235950,119170
2020.6.20,2267975,119716
2020.6.21,2294354,119973
2020.6.22,2324819,120333
2020.6.23,2359878,121166
2020.6.24,2396858,121933
2020.6.25,2438031,124399
2020.6.26,2483559,125032
2020.6.27,2525858,125543
2020.6.28,2565364,125814
2020.6.29,2604858,126161
2020.6.30,2653243,127461
2020.7.1,2703218,128103
2020.7.2,2758775,128826
2020.7.3,2815928,129417
2020.7.4,2865933,129678
2020.7.5,2910696,129940
2020.7.6,2958011,130331
2020.7.7,3012084,131289
