Fips_5,democrat,republican,others
05069,0.609098633,0.357225612,0.033675755
05071,0.266352063,0.668459175,0.065188762
05073,0.360839161,0.614685315,0.024475524
05075,0.222163588,0.714863676,0.062972735
05077,0.573364177,0.406146728,0.020489095
05079,0.32723471,0.641662311,0.03110298
05081,0.267266118,0.689688158,0.043045724
05083,0.216513067,0.725413458,0.058073476
05085,0.20900369,0.736457565,0.054538745
05087,0.232129806,0.72036252,0.047507674
05089,0.2017729,0.750809061,0.047418039
05091,0.265552172,0.70188304,0.032564788
05093,0.429415329,0.534762193,0.035822478
05095,0.454923717,0.51629681,0.028779473
05097,0.210171396,0.742624333,0.047204271
05099,0.356438694,0.616142945,0.027418361
05101,0.186250999,0.766053824,0.047695177
05103,0.434927026,0.538600906,0.026472068
05105,0.243613562,0.698560149,0.057826289
05107,0.619876312,0.351790594,0.028333094
05109,0.17206732,0.791258478,0.036674202
05111,0.243460243,0.712509713,0.044030044
05113,0.147248208,0.804033532,0.04871826
05115,0.221542824,0.72028003,0.058177146
05117,0.236353078,0.727351916,0.036295006
05119,0.560622371,0.383393,0.055984628
05121,0.223389246,0.706850604,0.06976015
05123,0.542530283,0.430013459,0.027456258
05125,0.254433781,0.688349328,0.057216891
05127,0.171509972,0.778062678,0.05042735
05129,0.161212446,0.792650215,0.046137339
05131,0.275556153,0.652530412,0.071913435
05133,0.235642262,0.719421306,0.044936431
05135,0.203062491,0.745895986,0.051041523
05137,0.214133143,0.732111072,0.053755785
05139,0.346572748,0.618917959,0.034509293
05141,0.211064178,0.733342417,0.055593405
05143,0.407593359,0.506663735,0.085742906
05145,0.18994085,0.7743488,0.035710349
05147,0.434850253,0.523920653,0.041229094
05149,0.229849355,0.715639074,0.05451157
06001,0.786900129,0.146610094,0.066489776
06003,0.554817276,0.360465116,0.084717608
06005,0.338558701,0.591237172,0.070204128
06007,0.43496505,0.472395463,0.092639488
06009,0.343360996,0.583981674,0.072657331
06011,0.401236429,0.535434258,0.063329312
06013,0.684908028,0.248739207,0.066352765
06015,0.364616028,0.537141661,0.09824231
06017,0.388969025,0.526193758,0.084837217
06019,0.50064289,0.439393027,0.059964083
06021,0.323653643,0.611193242,0.065153115
06023,0.560375384,0.310113763,0.129510853
06025,0.679274708,0.264165852,0.056559439
06027,0.390180559,0.525352461,0.08446698
06029,0.404193101,0.530727424,0.065079476
06031,0.401503759,0.533480761,0.06501548
06033,0.46930111,0.432682887,0.098016003
06035,0.211326492,0.719688331,0.068985177
06037,0.717572215,0.224133363,0.058294422
06039,0.394994433,0.541774912,0.063230655
06041,0.780531761,0.156318884,0.063149354
06043,0.351695393,0.584093725,0.064210882
06045,0.589134669,0.290524855,0.120340475
06047,0.527158174,0.405783384,0.067058441
06049,0.231520591,0.711721225,0.056758184
06051,0.525587566,0.400113723,0.074298711
06053,0.66778604,0.261566023,0.070647937
06055,0.638711465,0.283696148,0.077592387
06057,0.474251388,0.425320834,0.100427778
06059,0.509353072,0.42349821,0.067148718
06061,0.402042234,0.520337565,0.077620201
06063,0.357482431,0.560148822,0.082368747
06065,0.497337605,0.443501453,0.059160943
06067,0.582881304,0.339314895,0.077803801
06069,0.571109287,0.35764459,0.071246123
06071,0.521164923,0.414750842,0.064084235
06073,0.562979179,0.36571188,0.071308941
06075,0.850396262,0.092875168,0.05672857
06077,0.540331718,0.3967417,0.062926581
06079,0.497055752,0.416001896,0.086942352
06081,0.756660644,0.184261922,0.059077434
06083,0.606054778,0.318831808,0.075113414
06085,0.727124422,0.205803819,0.067071758
06087,0.739390317,0.174179676,0.086430008
06089,0.278577942,0.646796497,0.074625561
06091,0.328415301,0.572677596,0.098907104
06093,0.353015811,0.553435487,0.093548702
06095,0.61620704,0.312558319,0.071234641
06097,0.693763973,0.222301981,0.083934046
06099,0.474289266,0.455973418,0.069737316
06101,0.390060555,0.542194911,0.067744534
06103,0.284800067,0.648067592,0.067132341
06105,0.389377418,0.494548013,0.116074569
06107,0.423602827,0.518979116,0.057418057
06109,0.357358298,0.569979239,0.072662462
06111,0.552708643,0.376210459,0.071080898
06113,0.666975271,0.252637349,0.08038738
06115,0.343942952,0.572658492,0.083398556
08001,0.498582604,0.413507862,0.087909535
08003,0.459576308,0.438968151,0.101455541
08005,0.527593171,0.386254892,0.086151937
08007,0.340645865,0.581005587,0.078348549
08009,0.131444496,0.814212726,0.054342778
